name,positive,negative,note
Default_Negative,,"Watermark, Text, censored, deformed, bad anatomy, disfigured, poorly drawn face, mutated, extra limb, ugly, poorly drawn hands, missing limb, floating limbs, disconnected limbs, disconnected head, malformed hands, long neck, mutated hands and fingers, bad hands, missing fingers, cropped, worst quality, low quality, mutation, poorly drawn, huge calf, bad hands, fused hand, missing hand, disappearing arms, disappearing thigh, disappearing calf, disappearing legs, missing fingers, fused fingers, abnormal eye proportion, Abnormal hands, abnormal legs, abnormal feet,  abnormal fingers",
Default_Negative (sfw),,"NSFW, Cleavage, Pubic Hair, Nudity, Naked, Au naturel, Watermark, Text, censored, deformed, bad anatomy, disfigured, poorly drawn face, mutated, extra limb, ugly, poorly drawn hands, missing limb, floating limbs, disconnected limbs, disconnected head, malformed hands, long neck, mutated hands and fingers, bad hands, missing fingers, cropped, worst quality, low quality, mutation, poorly drawn, huge calf, bad hands, fused hand, missing hand, disappearing arms, disappearing thigh, disappearing calf, disappearing legs, missing fingers, fused fingers, abnormal eye proportion, Abnormal hands, abnormal legs, abnormal feet,  abnormal fingers",
Default_Negative (Low Token),,"lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry",
Character Reference Sheet,"character reference sheet {prompt}, turnaround views, detailed anatomy, color palette, multiple poses, highly detailed","simplistic, minimalist, vague, incomplete",
Enhancer,"breathtaking {prompt}, masterpiece, award-winning, professional, highly detailed","ugly, deformed, noisy, blurry, distorted, grainy",
Skin Enhancer,"detailed skin texture, (blush:0.5), (goosebumps:0.5), subsurface scattering, dry skin, fuzzy skin",,
Skin Enhancer (clean),"detailed skin texture, (blush:0.2), (goosebumps:0.3), subsurface scattering, dry skin, fuzzy skin",,
Light Painting,doing light painting,,
double exposure,double exposure,,
real + cartoon,cartoon in real environment,,
owl,"A D&D portrait of an Owlin paladin athlete, with sharp, focused eyes and powerful, muscular wings. The Owlin’s feathers are sleek, with intricate patterns in shades of silver and midnight blue. They wield a gleaming Morningstar, its spiked head catching the light, and wear polished, ornately engraved armor with radiant symbols of their holy order. A faint aura surrounds them, hinting at divine protection. The background is a dimly lit forest or ancient temple, adding to the mystique, with subtle golden light accentuating their heroic stance. Style: ultra-realistic, high detail",,
fae female,"A Photograph of a beautiful fae female in a forest with beautiful flowers (high quality, 8k, hyper detailed), award winning, national geographical magazine, (masterpiece:1.1), (highest quality:1.1), facing camera, ((full body)), very detailed skin, (((skin texture))), freckles,Petticoat,","((close-up)), ((closeup)), asian, dark freckles, worst quality, low quality, blurry, plastic, shiny, bad anatomy, bad composition, ugly, abnormal, unrealistic, double, contorted, disfigured, malformed, amateur, extra, duplicate, out of frame, cropped,  bad proportions, extra limbs, cloned face, blurry, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, mutation, watermark, bad eyes, lores, airbrushed, cgi, doll, Hollywood, placebo,text,watermarks,deep-fried,barbie,doll, ((mutilated hands)), interlocked fingers,",
